0,,,,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.
ss,,,,1,2,3,4,5,6,7,8,9,10,11,12
No.,Crew,Group,Race,,,,,,,,,,,,
1,Østberg  M,RC2,Hungary,4,3,2,5,5,2,1,2,2,8,1,1
2,Llarena  E,RC2,Hungary,4,6,33,12,13,14,11,11,12,3,7,5
3,Sesks  M. ,RC2,Hungary,2,8,7,9,8,7,6,10,7,1,5,8
4,Franceschi,RC2,Hungary,12,17,10,11,11,11,27,9,13,9,14,6
5,Bonato  Yo,RC2,Hungary,9,7,6,3,2,6,12,5,10,5,6,9
6,Mareš  Fil,RC2,Hungary,7,13,31,12,3,10,26,13,9,2,9,2
7,Csomós  Mi,RC2,Hungary,11,1,1,1,3,1,2,1,1,10,-,-
8,Marczyk  M,RC2,Hungary,1,4,5,4,7,4,5,31,4,5,4,3
9,McErlean  ,RC2,Hungary,35,-,-,-,-,-,-,-,-,-,-,-
10,Cais  Erik,RC2,Hungary,3,5,4,6,1,5,3,4,5,30,3,18
11,László  Ma,RC2,Hungary,12,16,11,17,9,16,10,16,17,13,15,14
12,Cuzma  Bog,RC2,Hungary,18,28,23,21,21,28,18,21,24,16,21,16
14,Vincze  Fe,RC2,Hungary,8,2,3,2,6,3,3,2,3,4,2,4
15,Turán  Fri,RC2,Hungary,6,9,9,8,10,8,8,8,6,7,12,10
16,Hadik  And,RC2,Hungary,9,10,8,7,14,12,7,6,8,32,8,11
17,Bodolai  L,RC2,Hungary,17,14,14,14,18,17,33,31,18,33,23,17
18,Trencsényi,RC2,Hungary,36,35,15,15,15,21,13,14,16,15,16,15
19,Allen  Phi,RC2,Hungary,16,15,35,18,12,15,31,15,15,12,13,7
20,Michelisz ,RC2,Hungary,14,12,13,16,16,9,29,12,14,11,11,12
21,Maior  Nor,RC4,Hungary,23,19,19,20,19,18,17,18,19,17,19,26
22,Daprà  Rob,RC4,Hungary,18,20,20,19,22,22,16,17,20,19,18,23
23,Nore  Ola ,RC4,Hungary,29,34,17,23,28,23,15,23,22,18,25,20
24,Schulz  Ti,RC4,Hungary,20,22,18,24,27,19,32,30,21,22,17,19
25,Zanin  Mat,RC4,Hungary,28,26,25,26,24,24,24,33,27,25,30,21
26,McRae  Max,RC4,Hungary,27,24,21,22,35,35,34,33,28,26,21,28
27,Johansson ,RC4,Hungary,25,23,22,25,23,26,30,20,25,20,20,22
28,Škulj  Mar,RC4,Hungary,26,27,26,29,20,29,19,22,26,24,24,24
29,Herczig  P,RC4,Hungary,21,25,27,30,25,27,20,25,29,23,26,25
30,Kreuter  N,RC4,Hungary,34,33,29,33,32,33,25,28,34,-,-,-
31,Hangodi  B,RC4,Hungary,22,21,24,28,29,25,21,19,22,21,-,-
32,Német  Gáb,RC2,Hungary,15,11,12,10,17,13,9,7,11,14,10,13
33,Kohn  Fili,RC3,Hungary,24,18,16,27,26,20,14,24,-,-,-,-
34,Rada  Mart,RGT,Hungary,32,32,32,35,34,34,28,29,33,31,31,31
35,Berta  Lás,RC4,Hungary,31,30,34,34,33,30,22,26,31,28,29,29
36,Viszlo  Cs,RC4,Hungary,32,31,28,31,30,31,23,27,30,29,28,30
37,Sugar  Cri,RC4,Hungary,30,29,30,32,30,32,34,33,32,27,27,27
