0,,,,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.
63,Nwelati  D,RC4 II,Czech Barum,70,70,63,63,61,17,49
65,Lukašík  P,RC4 II,Czech Barum,58,61,59,64,60,17,58
66,Vaňhara  M,RC4 I,Czech Barum,55,51,50,60,92,-,-
67,Kruťa  Ada,RC4 I,Czech Barum,64,55,53,52,76,17,57
68,Pohlídal  ,RC4 II,Czech Barum,52,56,47,51,54,17,48
69,Bartúnek  ,RC4 II,Czech Barum,69,66,65,67,55,17,56
70,Vogel  Adr,RC4,Czech Barum,62,59,60,53,53,17,50
71,Stratieva ,RC4,Czech Barum,65,65,68,66,63,17,54
72,Ševčík  Da,RC4 I,Czech Barum,57,103,74,70,51,17,60
73,Vlček  Jak,RC4 I,Czech Barum,68,69,76,75,62,17,63
76,Pech  Václ,RN9,Czech Barum,11,1,9,3,1,1,3
77,Enge  Tomá,RN9,Czech Barum,36,39,37,43,33,17,26
78,Nešetřil  ,RN9,Czech Barum,103,37,41,39,47,17,39
79,Ševčík  Pa,RN9,Czech Barum,43,32,43,31,65,17,-
80,Číž  Miros,RC4 II,Czech Barum,61,52,42,45,44,17,42
81,Dědic  V. ,RC4 II,Czech Barum,60,54,-,-,-,-,-
82,Tuček  Mar,RN9,Czech Barum,75,62,62,55,59,17,53
83,Klepáč  Ma,RN10,Czech Barum,78,83,81,-,-,-,-
84,Navrátil  ,RC5,Czech Barum,80,72,69,65,64,17,65
85,Kuba  Fili,RC4 I,Czech Barum,59,68,66,59,57,17,47
86,Čabaj  Mir,RN8,Czech Barum,71,73,70,68,69,17,62
87,Mandaus  J,RN8,Czech Barum,78,84,82,79,74,17,73
88,Daňhel  V.,RN8,Czech Barum,72,71,72,69,-,-,-
89,Kravec  Mi,RN8,Czech Barum,88,79,73,86,78,17,78
90,Macek  Kar,RN9,Czech Barum,83,88,87,82,80,17,74
91,Fridrich  ,RN7,Czech Barum,84,86,78,74,73,17,66
92,Pilka  Mar,RN7,Czech Barum,76,-,-,-,-,-,-
93,Kolář  Mic,RN7,Czech Barum,81,81,80,78,72,17,71
94,Orava  Rad,RN7,Czech Barum,90,85,85,76,75,17,72
95,Štěpánek  ,RC4 I,Czech Barum,67,74,83,84,67,17,68
96,Babička  M,RC4 II,Czech Barum,82,80,84,-,-,-,-
97,Pernica  L,RC4 II,Czech Barum,94,75,98,71,70,17,67
98,Vyvlečka  ,RN10,Czech Barum,66,67,64,62,68,17,61
99,Pavič  Pet,RN10,Czech Barum,77,78,75,73,71,17,75
100,Janota  To,RN10,Czech Barum,103,92,90,88,81,17,79
101,Šivic  Pav,RN6,Czech Barum,85,89,79,72,79,17,69
104,Směja  Dav,RN6,Czech Barum,86,82,67,-,-,-,-
105,Heřman  Pa,RN10,Czech Barum,97,94,99,90,83,17,80
106,Konšel  L.,RN10,Czech Barum,87,87,91,84,-,-,-
107,Mechl  Vik,RN6,Czech Barum,92,100,92,88,85,17,77
108,Slavíková ,RN6,Czech Barum,103,93,86,87,84,17,76
109,Zeman  Mil,RN6,Czech Barum,99,96,95,91,88,17,81
110,Bartha  Ná,-,Czech Barum,91,97,88,83,82,17,-
112,Andrys  F.,RN7,Czech Barum,96,91,-,-,-,-,-
113,Karban  Mi,RN10,Czech Barum,95,98,-,-,-,-,-
114,Hock  Kare,RN10,Czech Barum,98,101,96,94,89,17,84
115,Gajdošík  ,RN10,Czech Barum,89,90,77,77,77,17,70
116,Chlud  Iva,RN6,Czech Barum,100,95,93,93,86,17,83
117,Valla  Rud,RN6,Czech Barum,101,99,94,92,87,17,82
118,Liška  Mil,RN10,Czech Barum,102,102,97,95,90,17,85
119,Kowalczyk ,RC4 I,Czech Barum,44,77,61,80,48,17,44
